timestamp,state,ns_light,ew_light,vehicle_count,ml_state,emergency,duration
2025-09-13 00:49:24.616095,NS_Green,Green,Red,10,0,0,9.322166442871094e-05
2025-09-13 00:49:25.116654,NS_Green,Green,Red,14,0,0,0.5006508827209473
2025-09-13 00:49:25.619043,NS_Green,Green,Red,18,1,0,1.0030441284179688
2025-09-13 00:49:26.120302,NS_Green,Green,Red,19,1,0,1.5042989253997803
2025-09-13 00:49:26.625471,NS_Green,Green,Red,19,1,0,2.0094780921936035
2025-09-13 00:49:27.128378,NS_Green,Green,Red,15,1,0,2.512373208999634
2025-09-13 00:49:27.633534,NS_Green,Green,Red,11,1,0,3.017531156539917
2025-09-13 00:49:28.138697,NS_Green,Green,Red,7,0,0,3.522691011428833
2025-09-13 00:49:28.643854,NS_Green,Green,Red,3,0,0,4.027850866317749
2025-09-13 00:49:29.149002,NS_Green,Green,Red,1,0,0,4.532995939254761
2025-09-13 00:49:29.654178,NS_Green,Green,Red,1,0,1,4.220008850097656e-05
2025-09-13 00:49:30.159360,NS_Green,Green,Red,3,0,0,0.5052082538604736
2025-09-13 00:49:30.664494,NS_Green,Green,Red,8,0,0,1.0103440284729004
2025-09-13 00:49:31.168169,NS_Green,Green,Red,12,0,0,1.5140199661254883
2025-09-13 00:49:31.671946,NS_Green,Green,Red,16,1,0,2.017796039581299
2025-09-13 00:49:32.174371,NS_Green,Green,Red,19,1,0,2.5202271938323975
2025-09-13 00:49:32.676184,NS_Green,Green,Red,19,1,0,3.0220370292663574
2025-09-13 00:49:33.178867,NS_Green,Green,Red,17,1,0,3.5247151851654053
2025-09-13 00:49:33.684005,NS_Green,Green,Red,14,1,0,4.029856204986572
2025-09-13 00:49:34.185008,NS_Green,Green,Red,10,1,0,4.530858993530273
